Kód obce,Název obce,Počet voličů,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Volte Pr.Blok www.cibulka.net,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Společ.proti výst.v Prok.údolí,Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,OBČANÉ 2011-SPRAVEDL. PRO LIDI,Unie H.A.V.E.L.,Česká národní fronta,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů,Národ Sobě
560723,Benešovice,177,86,85,1,0,0,10,zde nekandidoval,0,3,8,0,1,zde nekandidoval,3,0,0,5,0,zde nekandidoval,zde nekandidoval,0,2,37,zde nekandidoval,0,2,0,0,0,1,12,0,zde nekandidoval
560740,Bezdružice,752,395,393,31,1,0,31,zde nekandidoval,1,23,61,1,7,zde nekandidoval,1,0,1,23,1,zde nekandidoval,zde nekandidoval,2,15,118,zde nekandidoval,1,10,1,1,3,3,55,2,zde nekandidoval
560758,Bor,3256,1445,1436,81,2,0,110,zde nekandidoval,4,100,179,22,14,zde nekandidoval,9,1,1,106,0,zde nekandidoval,zde nekandidoval,2,31,531,zde nekandidoval,4,25,1,6,5,11,181,10,zde nekandidoval
541605,Brod nad Tichou,202,112,112,1,1,0,3,zde nekandidoval,0,2,21,0,0,zde nekandidoval,0,0,0,12,0,zde nekandidoval,zde nekandidoval,0,4,52,zde nekandidoval,0,0,0,0,0,0,14,2,zde nekandidoval
541401,Broumov,108,72,70,5,0,0,8,zde nekandidoval,0,7,3,0,0,zde nekandidoval,1,0,0,9,0,zde nekandidoval,zde nekandidoval,0,3,24,zde nekandidoval,0,3,0,0,0,0,7,0,zde nekandidoval
560782,Cebiv,232,86,86,2,0,0,7,zde nekandidoval,0,1,12,1,2,zde nekandidoval,0,0,0,7,0,zde nekandidoval,zde nekandidoval,0,0,31,zde nekandidoval,0,4,0,1,0,2,15,1,zde nekandidoval
579459,Ctiboř,254,174,172,6,0,0,25,zde nekandidoval,0,7,32,0,0,zde nekandidoval,2,0,0,13,0,zde nekandidoval,zde nekandidoval,0,1,65,zde nekandidoval,0,4,0,2,2,0,13,0,zde nekandidoval
560804,Částkov,276,171,171,4,3,0,19,zde nekandidoval,0,10,18,2,3,zde nekandidoval,2,0,0,11,0,zde nekandidoval,zde nekandidoval,0,0,62,zde nekandidoval,3,3,0,1,0,0,30,0,zde nekandidoval
560812,Černošín,909,469,466,41,0,0,33,zde nekandidoval,0,7,56,4,4,zde nekandidoval,1,1,0,48,0,zde nekandidoval,zde nekandidoval,0,7,200,zde nekandidoval,0,18,0,1,0,0,44,1,zde nekandidoval
560839,Dlouhý Újezd,289,180,180,16,0,0,19,zde nekandidoval,1,7,12,1,6,zde nekandidoval,1,0,0,22,1,zde nekandidoval,zde nekandidoval,0,6,72,zde nekandidoval,0,2,0,3,0,0,11,0,zde nekandidoval
560855,Erpužice,285,156,153,12,0,0,12,zde nekandidoval,0,7,17,0,2,zde nekandidoval,3,0,1,18,0,zde nekandidoval,zde nekandidoval,0,4,59,zde nekandidoval,0,0,1,0,0,1,16,0,zde nekandidoval
560863,Halže,746,383,378,17,0,0,43,zde nekandidoval,0,13,70,3,6,zde nekandidoval,4,2,0,42,0,zde nekandidoval,zde nekandidoval,0,6,125,zde nekandidoval,0,4,0,1,3,0,38,1,zde nekandidoval
541290,Horní Kozolupy,208,110,110,6,0,0,5,zde nekandidoval,0,1,27,1,4,zde nekandidoval,0,0,0,3,0,zde nekandidoval,zde nekandidoval,0,2,40,zde nekandidoval,0,3,0,0,1,1,16,0,zde nekandidoval
560898,Hošťka,303,148,145,2,0,0,13,zde nekandidoval,0,3,33,1,4,zde nekandidoval,1,1,0,13,0,zde nekandidoval,zde nekandidoval,0,1,51,zde nekandidoval,0,7,0,0,0,1,14,0,zde nekandidoval
560901,Chodová Planá,1472,710,700,43,2,2,61,zde nekandidoval,2,16,84,5,10,zde nekandidoval,3,0,1,69,0,zde nekandidoval,zde nekandidoval,0,18,286,zde nekandidoval,0,6,0,2,1,0,87,2,zde nekandidoval
560910,Chodský Újezd,598,333,332,12,0,0,23,zde nekandidoval,0,14,34,2,3,zde nekandidoval,2,0,1,19,0,zde nekandidoval,zde nekandidoval,0,2,185,zde nekandidoval,0,1,0,4,0,0,29,1,zde nekandidoval
560928,Kladruby,1215,703,700,54,1,0,27,zde nekandidoval,0,26,90,34,7,zde nekandidoval,5,3,1,61,0,zde nekandidoval,zde nekandidoval,2,13,262,zde nekandidoval,3,14,0,3,2,2,89,1,zde nekandidoval
541559,Kočov,149,55,54,1,0,0,5,zde nekandidoval,0,1,15,1,0,zde nekandidoval,1,0,0,5,0,zde nekandidoval,zde nekandidoval,1,0,12,zde nekandidoval,0,0,0,0,0,0,12,0,zde nekandidoval
541494,Kokašice,212,119,117,11,1,0,11,zde nekandidoval,1,1,21,0,2,zde nekandidoval,1,0,0,9,0,zde nekandidoval,zde nekandidoval,0,6,38,zde nekandidoval,0,5,0,0,0,0,10,0,zde nekandidoval
560952,Konstantinovy Lázně,833,561,552,67,0,0,44,zde nekandidoval,0,23,60,13,0,zde nekandidoval,5,0,0,39,0,zde nekandidoval,zde nekandidoval,1,25,168,zde nekandidoval,0,26,1,2,1,1,75,1,zde nekandidoval
503916,Kostelec,445,217,217,12,2,0,13,zde nekandidoval,0,11,54,1,1,zde nekandidoval,4,0,0,11,0,zde nekandidoval,zde nekandidoval,0,5,72,zde nekandidoval,0,1,0,2,3,1,24,0,zde nekandidoval
560979,Kšice,152,94,94,2,0,0,7,zde nekandidoval,1,2,20,0,8,zde nekandidoval,1,0,0,3,0,zde nekandidoval,zde nekandidoval,1,2,23,zde nekandidoval,0,0,0,0,1,0,22,1,zde nekandidoval
561002,Lesná,365,175,175,9,1,0,20,zde nekandidoval,1,5,26,1,3,zde nekandidoval,0,0,0,8,0,zde nekandidoval,zde nekandidoval,1,1,60,zde nekandidoval,0,2,0,1,1,1,32,2,zde nekandidoval
561011,Lestkov,312,171,171,8,1,0,9,zde nekandidoval,0,6,24,0,3,zde nekandidoval,1,0,0,9,0,zde nekandidoval,zde nekandidoval,0,7,67,zde nekandidoval,0,3,0,0,0,0,33,0,zde nekandidoval
541702,Lom u Tachova,334,184,184,5,0,0,14,zde nekandidoval,0,6,30,0,5,zde nekandidoval,4,0,1,13,0,zde nekandidoval,zde nekandidoval,0,6,57,zde nekandidoval,0,4,0,0,1,2,36,0,zde nekandidoval
541532,Milíře,201,86,84,3,0,0,7,zde nekandidoval,1,5,5,1,1,zde nekandidoval,2,0,0,9,0,zde nekandidoval,zde nekandidoval,0,1,31,zde nekandidoval,0,6,0,1,0,0,11,0,zde nekandidoval
541443,Obora,109,64,64,6,0,0,2,zde nekandidoval,0,3,10,0,0,zde nekandidoval,2,0,0,7,0,zde nekandidoval,zde nekandidoval,0,8,18,zde nekandidoval,0,3,0,0,0,0,5,0,zde nekandidoval
566888,Olbramov,49,28,28,2,0,0,0,zde nekandidoval,0,5,1,2,1,zde nekandidoval,0,0,1,3,0,zde nekandidoval,zde nekandidoval,0,2,10,zde nekandidoval,0,0,0,0,0,0,1,0,zde nekandidoval
541681,Ošelín,138,64,58,0,0,0,4,zde nekandidoval,0,1,12,0,0,zde nekandidoval,0,0,0,7,0,zde nekandidoval,zde nekandidoval,0,2,23,zde nekandidoval,0,2,0,0,0,1,6,0,zde nekandidoval
561134,Planá,4374,2300,2289,170,1,1,143,zde nekandidoval,2,133,328,17,25,zde nekandidoval,17,0,5,190,3,zde nekandidoval,zde nekandidoval,1,69,815,zde nekandidoval,5,50,1,9,2,5,291,6,zde nekandidoval
541486,Prostiboř,122,66,65,1,0,0,8,zde nekandidoval,0,6,3,3,0,zde nekandidoval,1,0,0,10,0,zde nekandidoval,zde nekandidoval,0,4,19,zde nekandidoval,0,0,0,0,1,0,8,1,zde nekandidoval
561151,Přimda,926,457,454,40,0,0,30,zde nekandidoval,0,13,68,4,6,zde nekandidoval,4,1,1,42,1,zde nekandidoval,zde nekandidoval,0,10,166,zde nekandidoval,1,4,0,1,0,1,59,2,zde nekandidoval
561169,Rozvadov,485,236,235,14,1,0,12,zde nekandidoval,0,12,38,2,5,zde nekandidoval,3,0,0,13,0,zde nekandidoval,zde nekandidoval,0,8,74,zde nekandidoval,1,5,0,1,1,0,43,2,zde nekandidoval
579467,Skapce,88,37,37,3,0,0,8,zde nekandidoval,0,0,7,2,1,zde nekandidoval,0,0,0,4,0,zde nekandidoval,zde nekandidoval,0,0,8,zde nekandidoval,0,2,0,0,1,0,1,0,zde nekandidoval
561185,Staré Sedliště,893,390,390,30,0,0,28,zde nekandidoval,1,20,63,4,2,zde nekandidoval,3,0,2,34,0,zde nekandidoval,zde nekandidoval,2,2,127,zde nekandidoval,0,20,0,1,0,1,49,1,zde nekandidoval
561193,Staré Sedlo,208,116,115,8,0,0,8,zde nekandidoval,0,6,29,0,3,zde nekandidoval,0,0,0,4,0,zde nekandidoval,zde nekandidoval,0,0,39,zde nekandidoval,0,2,0,2,1,1,12,0,zde nekandidoval
561207,Stráž,918,447,446,24,1,0,30,zde nekandidoval,0,15,54,6,7,zde nekandidoval,5,0,2,54,0,zde nekandidoval,zde nekandidoval,0,13,174,zde nekandidoval,1,13,0,1,1,4,41,0,zde nekandidoval
561215,Stříbro,6102,3332,3303,269,8,0,313,zde nekandidoval,9,194,277,57,32,zde nekandidoval,44,4,1,332,5,zde nekandidoval,zde nekandidoval,0,129,1127,zde nekandidoval,6,96,1,13,11,4,366,5,zde nekandidoval
561223,Studánka,393,239,238,20,0,0,11,zde nekandidoval,0,10,19,4,4,zde nekandidoval,0,0,0,35,0,zde nekandidoval,zde nekandidoval,0,6,90,zde nekandidoval,0,1,0,3,0,2,33,0,zde nekandidoval
561231,Sulislav,169,119,118,9,0,0,9,zde nekandidoval,0,3,9,1,0,zde nekandidoval,0,0,0,11,0,zde nekandidoval,zde nekandidoval,0,2,59,zde nekandidoval,1,2,0,0,2,0,10,0,zde nekandidoval
561258,Svojšín,345,173,173,7,3,0,10,zde nekandidoval,0,7,21,5,2,zde nekandidoval,1,0,0,14,1,zde nekandidoval,zde nekandidoval,0,6,75,zde nekandidoval,1,3,0,1,0,2,11,3,zde nekandidoval
557081,Sytno,237,113,112,5,0,0,6,zde nekandidoval,0,5,16,0,4,zde nekandidoval,4,0,0,5,0,zde nekandidoval,zde nekandidoval,0,1,45,zde nekandidoval,1,0,0,0,1,0,18,1,zde nekandidoval
560715,Tachov,9590,5256,5228,481,7,4,445,zde nekandidoval,3,152,584,53,43,zde nekandidoval,78,1,6,611,2,zde nekandidoval,zde nekandidoval,6,160,1780,zde nekandidoval,9,89,2,29,13,8,637,25,zde nekandidoval
541621,Tisová,370,175,175,10,0,0,12,zde nekandidoval,0,14,30,1,4,zde nekandidoval,0,1,0,24,0,zde nekandidoval,zde nekandidoval,1,2,62,zde nekandidoval,0,2,0,0,0,0,10,2,zde nekandidoval
561291,Trpísty,184,79,79,4,0,0,10,zde nekandidoval,0,6,16,2,0,zde nekandidoval,0,0,1,3,0,zde nekandidoval,zde nekandidoval,0,0,25,zde nekandidoval,0,1,0,1,0,0,10,0,zde nekandidoval
561304,Třemešné,317,169,168,19,1,0,10,zde nekandidoval,0,13,26,0,0,zde nekandidoval,2,0,0,14,0,zde nekandidoval,zde nekandidoval,2,6,40,zde nekandidoval,0,0,0,1,3,1,30,0,zde nekandidoval
541435,Únehle,105,64,63,7,0,1,6,zde nekandidoval,0,7,7,0,2,zde nekandidoval,0,0,0,8,0,zde nekandidoval,zde nekandidoval,0,3,16,zde nekandidoval,0,1,0,0,0,1,3,1,zde nekandidoval
579491,Vranov,145,84,83,8,0,0,6,zde nekandidoval,0,4,12,0,0,zde nekandidoval,1,1,0,4,0,zde nekandidoval,zde nekandidoval,0,0,31,zde nekandidoval,0,0,0,0,0,0,15,1,zde nekandidoval
541362,Zadní Chodov,207,121,120,9,0,0,9,zde nekandidoval,0,0,16,1,1,zde nekandidoval,0,0,0,9,0,zde nekandidoval,zde nekandidoval,0,3,54,zde nekandidoval,0,2,0,0,0,0,14,2,zde nekandidoval
541664,Záchlumí,308,152,151,9,0,1,13,zde nekandidoval,0,3,29,1,3,zde nekandidoval,0,0,0,9,0,zde nekandidoval,zde nekandidoval,0,1,61,zde nekandidoval,0,1,0,0,0,0,20,0,zde nekandidoval
541460,Zhoř,123,38,36,2,0,0,1,zde nekandidoval,0,1,4,0,0,zde nekandidoval,0,0,0,0,0,zde nekandidoval,zde nekandidoval,0,0,16,zde nekandidoval,0,0,0,0,0,0,12,0,zde nekandidoval
